key	calle	altura	barrio	usig_lat	usig_lon	georef_lat	georef_lon	n_ok	max_pairwise_m	consensus_lat	consensus_lon
av las heras|3500|recoleta	Av Las Heras	3500	Recoleta	-34.582547	-58.409187	-34.5825409450473	-58.4092024255993	2	1.6	-34.582544	-58.4091947
av cordoba|1600|recoleta	Av. Córdoba	1600	Recoleta	-34.599514	-58.389551	-34.5994408882479	-58.389664297309	2	13.2	-34.5994774	-58.3896076
general ramon freire|2400|belgrano	General Ramón Freire	2400	Belgrano	-34.563901	-58.466787			1		-34.563901	-58.466787
fray justo sta maria de oro|2400|palermo	Fray Justo Sta. María De Oro	2400	Palermo	-34.580397	-58.425453	-34.5803527786605	-58.4253341054013	2	12.0	-34.5803749	-58.4253936
beruti|4450|palermo	Beruti	4450	Palermo	-34.578539	-58.423046	-34.5785178746425	-58.42297199005565	2	7.2	-34.5785284	-58.423009
alejandro magarinos cervantes|1828|la paternal	Alejandro Magariños Cervantes	1828	La Paternal			-34.60671409801329	-58.4663254469606	1		-34.6067141	-58.4663254
baez y av indalecio chenaut|400|palermo	Báez Y Avenida Indalecio Chenaut	400	Palermo			-34.5714529854842	-58.43217764192	1		-34.571453	-58.4321776
gorriti|3800|palermo	Gorriti	3800	Palermo	-34.595524	-58.418427	-34.5954711549964	-58.4185320575315	2	11.3	-34.5954976	-58.4184795
dr tomas manuel de anchorena|1400|recoleta	Dr. Tomas Manuel De Anchorena	1400	Recoleta	-34.593491	-58.405342			1		-34.593491	-58.405342
av corrientes|3454|almagro	Av. Corrientes	3454	Almagro	-34.604167	-58.413935	-34.60408882729452	-58.41390448957811	2	9.1	-34.6041279	-58.4139197
av del libertador|2300|palermo	Av. Del Libertador	2300	Palermo	-34.580905	-58.404473	-34.5805154725068	-58.4046448023107	2	46.0	-34.5807102	-58.4045589
martinez castro|700|parque avellaneda	Martínez Castro	700	Parque Avellaneda	-34.640835	-58.475966	-34.6409279058403	-58.4759169685295	2	11.2	-34.6408815	-58.4759415
nicasio orono|400|caballito	Nicasio Oroño	400	Caballito					0			
zarraga|3800|belgrano	Zarraga	3800	Belgrano	-34.577631	-58.465082	-34.5776568863571	-58.4652050302064	2	11.6	-34.5776439	-58.4651435
savio|444|palermo	Savio	444	Palermo	-34.573105	-58.436954	-34.57307598810293	-58.436924016653045	2	4.2	-34.5730905	-58.436939
directorio av|600|caballito	Directorio Av	600	Caballito	-34.628342	-58.435524	-34.6282876999	-58.4356475353134	2	12.8	-34.6283148	-58.4355858
araujo|183|villa luro	Araujo	183	Villa Luro	-34.639932	-58.506696	-34.63997574783477	-58.50658674374001	2	11.1	-34.6399539	-58.5066414
manuela pedraza|1700|nunez	Manuela Pedraza	1700	Nuñez	-34.547892	-58.459527	-34.5479277964334	-58.4597089430207	2	17.2	-34.5479099	-58.459618
av ricardo balbin|2600|belgrano	Av. Ricardo Balbin	2600	Belgrano	-34.561792	-58.467674	-34.5616874888236	-58.4676839350153	2	11.6	-34.5617397	-58.467679
av cabildo|1145|belgrano	Av. Cabildo	1145	Belgrano	-34.568505	-58.447544	-34.56863591989245	-58.44753205144733	2	14.6	-34.5685705	-58.447538
av entre rios|600|balvanera	Av. Entre Rios	600	Balvanera	-34.615605	-58.391565	-34.6157002374097	-58.3916587848608	2	13.6	-34.6156526	-58.3916119
arenales|2700|recoleta	Arenales	2700	Recoleta	-34.592521	-58.404155	-34.5925151426735	-58.4041696918902	2	1.5	-34.5925181	-58.4041623
thames|1174|palermo	Thames	1174	Palermo	-34.591001	-58.435736	-34.59097177566472	-58.43557399384405	2	15.2	-34.5909864	-58.435655
