posting_id	sitio	operacion	precio	calle	altura	losa_central	aire_acond	apto_credito	cochera	seguridad	luminoso	balcon_aterrazado	barrio_oficial	moneda	accesible_movilidad_reducida	acepta_caucion	agua_caliente_central	ambientes	antiguedad_años	apto_profesional	ascensor	balcon	baulera	baños	dependencia_servicio	dormitorios	expensas_incluidas_en_precio	gimnasio	lavadero	m2_total	ofrece_financiacion	parrilla	pileta	portero	sum	terraza	tiene_expensas	expensas	sobre_avenida	precio_por_m2	segmento_zona	segmento_zona_modelo	log_precio	log_m2	log_precio_m2	amenities_count	m2_relativo_barrio	lat	lon	geo_source
57387931	zonaprop	alquiler	380000.0			0	1	0	0	0	1	0	La Paternal	ars	1	1	0	1.0	12.0	0	0	0	0	1.0	0	1.0	False	0	0	26.0	0	0	0	0	0	0	1.0	110000.0	0	14615.384615384615	estandar	estandar	12.847929163278051	3.295836866004329	9.589898412393104	5.0				
57327370	zonaprop	alquiler	4200.0	Azucena Villaflor	450.0	0	0	0	0	1	1	0	Puerto Madero	usd	0	0	0	3.0	10.0	0	0	0	0	2.0	0	2.0	False	0	0	135.0	0	0	0	0	0	0	1.0	1500000.0	0	31.11111111111111	premium	premium	8.343077871169383	4.912654885736052	3.4692021107762128	3.0		-34.6115496	-58.361433	consenso_multi_api
57397931	zonaprop	alquiler	1100000.0			0	1	0	0	0	0	0	Villa Devoto	ars	0	0	0	3.0	30.0	0	0	1	0	1.0	0	2.0	False	0	0	69.0	0	1	0	0	1	0	1.0	180000.0	0	15942.028985507246	estandar	estandar	13.910821646859096	4.248495242049359	9.676776958476792	5.0				
57315253	zonaprop	alquiler	490000.0	Gurruchaga	1100.0	0	0	0	0	1	0	1	Palermo	ars	1	1	0	1.0	14.0	0	0	1	0	1.0	0	1.0	False	1	0	37.0	0	1	1	0	1	1	1.0	280000.0	0	13243.243243243243	estandar	estandar	13.102162710901052	3.6375861597263857	9.491318264795916	11.0		-34.5929761	-58.4349443	consenso_multi_api
57214642	zonaprop	alquiler	1800.0	Blanco Encalada	1441.0	0	0	0	1	0	0	0	Belgrano	usd	0	1	0	5.0	35.0	0	0	1	0	2.0	0	4.0	False	0	1	120.0	0	0	0	0	0	0	1.0	500000.0	0	15.0	estandar	estandar	7.496097345175956	4.795790545596741	2.772588722239781	5.0		-34.5534393	-58.4493997	consenso_multi_api
57305823	zonaprop	alquiler	1300000.0	Av. Del Libertador	6966.0	0	1	0	1	1	1	0	Nuñez	ars	0	0	0	1.0	6.5	1	0	1	0	1.0	0	2.0	False	1	0	70.0	0	0	1	0	1	1	1.0	640000.0	1	18571.42857142857	estandar	estandar	14.077875591662238	4.262679877041316	9.8294334250866	12.0		-34.5483052	-58.4555257	consenso_multi_api
57306219	zonaprop	alquiler	550000.0	Tte Gral Perón	1750.0	0	0	0	0	1	1	0	San Nicolas	ars	0	0	0	2.0	45.0	1	0	0	0	1.0	0	1.0	False	0	0	47.0	0	0	0	0	0	0	1.0	170000.0	0	11702.127659574468	estandar	estandar	13.21767537538882	3.871201010907891	9.367611406393015	4.0		-34.6067592	-58.3914616	consenso_multi_api
57311335	zonaprop	alquiler	700.0	Soler	5800.0	0	1	0	0	0	1	0	Palermo	usd	0	1	0	1.0	12.0	0	0	1	0	1.0	0	1.0	False	0	0	36.0	0	0	0	0	0	1	1.0	180000.0	0	19.444444444444443	estandar	estandar	6.55250788703459	3.610917912644224	3.0177111802727663	6.0		-34.5793242	-58.434593	consenso_multi_api
57312581	zonaprop	alquiler	500000.0	Bilbao Francisco	1800.0	0	0	0	0	0	1	0	Parque Chacabuco	ars	0	0	0	2.0	21.0	0	0	0	0	1.0	0	1.0	False	0	0	35.0	0	0	0	0	0	0	1.0	135000.0	0	14285.714285714286	estandar	estandar	13.122365377402328	3.58351893845611	9.567085313465029	2.0		-34.6321751	-58.452681	consenso_multi_api
57312637	zonaprop	alquiler	800000.0	Caseros, Avda	791.0	0	0	0	0	0	1	0	San Telmo	ars	0	0	0	2.0	25.0	0	0	1	0	1.0	0	1.0	False	0	0	44.0	0	0	0	0	0	0	1.0	190000.0	1	18181.81818181818	estandar	estandar	13.592368256649284	3.80666248977032	9.808232371219358	4.0		-34.627117	-58.375514	consenso_multi_api
57300512	zonaprop	alquiler	650.0	Fragata Sarmiento	1600.0	0	1	0	0	0	0	0	Palermo	usd	0	0	0	2.0	14.0	0	0	0	0	1.0	0	1.0	False	1	1	30.0	0	1	1	0	1	1	1.0	180000.0	0	21.666666666666668	estandar	estandar	6.478509642208569	3.4339872044851463	3.120895416507997	8.0		-34.6066074	-58.4585622	consenso_multi_api
57314416	zonaprop	alquiler	5200.0	Ramsay	1945.0	0	1	0	1	0	0	0	Belgrano	usd	0	0	0	4.0	35.0	0	0	1	0	3.0	1	3.0	False	0	1	215.0	0	0	1	0	0	0	1.0	1164000.0	0	24.186046511627907	estandar	estandar	8.556606193773073	5.375278407684165	3.226290131307428	7.0		-34.5534921	-58.4386677	consenso_multi_api
57300783	zonaprop	alquiler	530.0	Pasteur	446.0	0	1	0	0	0	1	0	Balvanera	usd	0	0	0	1.0	40.0	0	0	0	0	1.0	0	1.0	False	0	0	30.0	0	0	0	0	0	0	1.0	153000.0	0	17.666666666666668	estandar	estandar	6.274762021241939	3.4339872044851463	2.92673940206704	3.0		-34.6040189	-58.3995393	consenso_multi_api
57457400	zonaprop	alquiler	1700.0	Beruti	3300.0	0	1	0	0	1	0	0	Palermo	usd	0	0	0	2.0	20.0	0	1	1	0	1.0	0	1.0	False	1	0	56.0	0	1	1	0	1	0	1.0	384500.0	0	30.357142857142858	estandar	estandar	7.438971592395862	4.04305126783455	3.4454420834599127	9.0		-34.5876047	-58.4090069	consenso_multi_api
57458310	zonaprop	alquiler	4200.0	Avenida Del Libertador	7400.0	0	1	0	1	1	1	0	Nuñez	usd	0	0	1	4.0	6.5	0	1	0	0	3.0	0	3.0	False	1	1	160.0	0	0	1	0	1	0	1.0	900000.0	1	26.25	estandar	estandar	8.343077871169383	5.081404364984463	3.305053521109253	12.0		-34.5454986	-58.4589146	consenso_multi_api
57459352	zonaprop	alquiler	480000.0	Sarmiento	1400.0	0	0	0	0	0	1	0	San Nicolas	ars	0	0	0	2.0	40.0	1	0	0	0	1.0	0	1.0	False	0	0	38.0	0	0	0	0	0	0	1.0	215000.0	0	12631.578947368422	estandar	estandar	13.081543466215235	3.6635616461296463	9.44403438669084	3.0		-34.6052855	-58.3864085	consenso_multi_api
57461235	zonaprop	alquiler	500000.0	Felipe Vallese	1924.0	0	0	0	1	0	1	0	Flores	ars	0	0	0	1.0	15.0	0	0	1	0	1.0	0	1.0	False	0	0	23.0	0	0	0	0	0	0	1.0	120000.0	0	21739.130434782608	estandar	estandar	13.122365377402328	3.1780538303479458	9.986915160417212	4.0		-34.6188368	-58.4606497	consenso_multi_api
57461816	zonaprop	alquiler	1300000.0	San Juan	4200.0	0	0	0	0	0	1	0	Boedo	ars	0	0	0	4.0	22.5	0	0	1	0	2.0	1	3.0	False	0	1	101.0	0	0	0	0	0	0	1.0	270000.0	0	12871.287128712873	estandar	estandar	14.077875591662238	4.624972813284271	9.462831994880307	5.0		-34.6266436	-58.4240514	consenso_multi_api
57419101	zonaprop	alquiler	1900.0	Amenábar	2364.0	0	0	0	0	0	1	1	Belgrano	usd	0	0	0	3.0	33.0	0	0	1	0	2.0	0	2.0	False	0	1	79.0	0	0	0	0	0	1	1.0	630000.0	0	24.050632911392405	estandar	estandar	7.550135342488429	4.382026634673881	3.2208990931355443	6.0		-34.560658	-58.4607285	consenso_multi_api
57419399	zonaprop	alquiler	530000.0	(Leg 1424) Araujo	900.0	0	0	0	0	0	1	0	Mataderos	ars	0	0	0	1.0	3.0	1	1	0	0	1.0	0	1.0	False	0	0	30.0	0	0	0	1	0	0	1.0	80000.0	0	17666.666666666668	popular	popular	13.180634172318978	3.4339872044851463	9.7794915060378	5.0				consenso_multi_api
57421757	zonaprop	alquiler	2200.0	Ayacucho	2100.0	0	0	0	0	0	1	0	Recoleta	usd	0	0	0	4.0	50.0	0	0	1	0	1.0	1	3.0	False	0	1	148.0	0	0	0	0	0	0	1.0	760000.0	0	14.864864864864863	estandar	estandar	7.696667081526462	5.003946305945459	2.764106907183872	5.0		-34.5868267	-58.3884053	consenso_multi_api
57422466	zonaprop	alquiler	550000.0	Avenida De Los Constituyentes	3219.0	0	1	0	1	0	0	0	Parque Chas	ars	0	0	0	2.0	11.5	0	1	1	0	1.0	0	1.0	False	0	0	38.0	0	0	0	0	0	0	1.0	150000.0	1	14473.684210526317	estandar	estandar	13.21767537538882	3.6635616461296463	9.580156486004691	6.0		-34.5906483	-58.4798169	consenso_multi_api
57438828	zonaprop	alquiler	800000.0	Entre Rios	478.0	0	0	0	0	0	1	0	San Nicolas	ars	0	0	0	3.0	50.0	0	0	1	0	1.0	0	2.0	False	0	1	55.0	0	0	0	0	0	0	1.0	254500.0	0	14545.454545454546	estandar	estandar	13.592368256649284	4.02535169073515	9.58510256905442	4.0		-34.6146415	-58.3916391	consenso_multi_api
57423404	zonaprop	alquiler	650000.0	Av. Callao	1026.0	0	0	0	0	0	1	0	Recoleta	ars	0	0	0	1.0	40.0	0	0	1	0	1.0	0	1.0	False	0	1	30.0	0	1	0	0	0	0	1.0	170000.0	1	21666.666666666668	estandar	estandar	13.384729180332174	3.4339872044851463	9.983576412990764	6.0		-34.5968994	-58.3932801	consenso_multi_api
57411660	zonaprop	alquiler	800.0	Av. Corrientes	5700.0	0	1	0	0	0	1	0	Villa Crespo	usd	0	0	0	2.0	15.0	0	0	0	0	1.0	0	1.0	False	0	0	50.0	0	0	0	0	0	0	1.0	160000.0	1	16.0	estandar	estandar	6.68586094706836	3.9318256327243257	2.833213344056216	4.0		-34.5955334	-58.4435391	consenso_multi_api
57467869	zonaprop	alquiler	1500000.0	Aguilar	2144.0	0	0	0	1	0	0	0	Belgrano	ars	0	0	0	3.0	33.0	0	0	1	0	1.0	0	2.0	False	0	0	85.0	0	0	0	0	0	0	1.0	400000.0	0	17647.058823529413	estandar	estandar	14.220976332738882	4.454347296253507	9.778381074643294	3.0		-34.5674544	-58.4457537	consenso_multi_api
