punto_id,tipo,nombre,lat,lon,color_default
95,espacio_verde,Espacio verde 95,-34.65468232597297,-58.44897124426483,#2ca02c
96,espacio_verde,Ing. Agr. Benito J. Carrasco,-34.565993714474345,-58.399723608781215,#2ca02c
97,espacio_verde,Espacio verde 97,-34.59506020689596,-58.465172063130716,#2ca02c
98,espacio_verde,Espacio verde 98,-34.656783469413966,-58.4515632069322,#2ca02c
99,espacio_verde,Espacio verde 99,-34.651201339567415,-58.45398439413391,#2ca02c
100,espacio_verde,Espacio verde 100,-34.651056842596134,-58.454550170027886,#2ca02c
101,espacio_verde,Cesáreo Onzari,-34.65087905875442,-58.46106158425157,#2ca02c
102,espacio_verde,Espacio verde 102,-34.6540359948902,-58.456990441528774,#2ca02c
103,espacio_verde,Espacio verde 103,-34.65312834384504,-58.45815922504866,#2ca02c
104,espacio_verde,Espacio verde 104,-34.65889328553503,-58.448901230773714,#2ca02c
105,espacio_verde,Espacio verde 105,-34.656069372477084,-58.45068014636229,#2ca02c
106,espacio_verde,Espacio verde 106,-34.65042541736298,-58.45324917012013,#2ca02c
107,espacio_verde,Parque Brig. Gral. Cornelio Saavedra,-34.5506333658283,-58.480064742128675,#2ca02c
108,espacio_verde,Espacio verde 108,-34.65725327951665,-58.44570731363897,#2ca02c
109,espacio_verde,Espacio verde 109,-34.65301247971788,-58.44165593358821,#2ca02c
110,espacio_verde,Espacio verde 110,-34.651573675556016,-58.45318507851284,#2ca02c
111,espacio_verde,Plaza de la Integración Latinoamericana,-34.65092882957132,-58.44327770116236,#2ca02c
112,espacio_verde,Espacio verde 112,-34.64746781909644,-58.42787763737277,#2ca02c
113,espacio_verde,Plaza Dr. Juan B Terán,-34.620705408486884,-58.519573542603176,#2ca02c
114,espacio_verde,Parque Florentino Ameghino,-34.63632501233866,-58.39448879370709,#2ca02c
115,espacio_verde,Espacio verde 115,-34.64605649325314,-58.42649075137681,#2ca02c
116,espacio_verde,Espacio verde 116,-34.644579857676966,-58.42502218568011,#2ca02c
117,espacio_verde,Patio Félix Liceaga,-34.630278407413456,-58.43775849978578,#2ca02c
118,espacio_verde,Espacio verde 118,-34.606349459606236,-58.438625180376974,#2ca02c
119,espacio_verde,Espacio verde 119,-34.60867687387471,-58.43529733958565,#2ca02c
120,espacio_verde,Espacio verde 120,-34.60865360732886,-58.43475866421951,#2ca02c
121,espacio_verde,Espacio verde 121,-34.60438791973145,-58.43639094898907,#2ca02c
122,espacio_verde,Espacio verde 122,-34.604346188531174,-58.43603139326263,#2ca02c
123,espacio_verde,Espacio verde 123,-34.6059807950951,-58.43294596746354,#2ca02c
124,espacio_verde,Espacio verde 124,-34.60442790781439,-58.43507744127519,#2ca02c
125,espacio_verde,Espacio verde 125,-34.607101686341686,-58.432816161570706,#2ca02c
126,espacio_verde,Delia Avilés de Elizalde,-34.624501783436024,-58.39679543369252,#2ca02c
127,espacio_verde,Matilde Vara de Anguita,-34.62445236371531,-58.39412218127023,#2ca02c
128,espacio_verde,Plaza Nuestra Señora de la Asunción,-34.615997019749756,-58.4664394963172,#2ca02c
129,espacio_verde,Elsa Rabinovich de Levenson,-34.623842181326424,-58.39434350877805,#2ca02c
130,espacio_verde,Hermanas Mirabal,-34.65583039693375,-58.41454733118839,#2ca02c
131,espacio_verde,Plazoleta Clubes del Barrio,-34.65528606784305,-58.41351942788789,#2ca02c
132,espacio_verde,Oscar Natalio “Ringo“ Bonavena,-34.653448200333955,-58.40949404625535,#2ca02c
133,espacio_verde,Plazoleta Padre Mario Luis Migone,-34.65112085638215,-58.40647551700514,#2ca02c
134,espacio_verde,Espacio verde 134,-34.58069439929483,-58.4009615036592,#2ca02c
135,espacio_verde,Plazoleta Simón Lazara,-34.614698106792,-58.41692756350353,#2ca02c
136,espacio_verde,Espacio verde 136,-34.618751106344234,-58.368841749423076,#2ca02c
137,espacio_verde,Espacio verde 137,-34.59508818853876,-58.37289768041615,#2ca02c
138,espacio_verde,Plaza J. J. Paso,-34.56984481109148,-58.45315630399937,#2ca02c
139,espacio_verde,Espacio verde 139,-34.59545200858553,-58.37245616254138,#2ca02c
140,espacio_verde,Espacio verde 140,-34.58687692801505,-58.38481978896544,#2ca02c
141,espacio_verde,Espacio verde 141,-34.58989194202625,-58.369985077027756,#2ca02c
142,espacio_verde,Espacio verde 142,-34.588943841820374,-58.370918750813544,#2ca02c
143,espacio_verde,Belisario Roldán,-34.62791539433512,-58.52874837513006,#2ca02c
144,espacio_verde,Espacio verde 144,-34.60473711907017,-58.37022044983644,#2ca02c
145,espacio_verde,Espacio verde 145,-34.60366285693781,-58.37032367484377,#2ca02c
146,espacio_verde,Espacio verde 146,-34.602400526089035,-58.37042469391462,#2ca02c
147,espacio_verde,Espacio verde 147,-34.60008480416993,-58.370735902900705,#2ca02c
148,espacio_verde,Espacio verde 148,-34.60470670146685,-58.36999921526738,#2ca02c
149,espacio_verde,Espacio verde 149,-34.60375082117915,-58.3700751791606,#2ca02c
150,espacio_verde,Espacio verde 150,-34.60253678852396,-58.37020721536837,#2ca02c
151,espacio_verde,Espacio verde 151,-34.60125572330841,-58.37035686886788,#2ca02c
152,espacio_verde,Espacio verde 152,-34.6000813835549,-58.37056191617114,#2ca02c
153,espacio_verde,Espacio verde 153,-34.59894875455218,-58.37086014251559,#2ca02c
154,espacio_verde,Cap. Domingo A. Millan,-34.56267066885509,-58.48135045825094,#2ca02c
155,espacio_verde,Plaza de la Misericordia,-34.63252677711359,-58.45573480695155,#2ca02c
156,espacio_verde,Eladia Blázquez,-34.617652803769246,-58.36119891276143,#2ca02c
