sitio	posting_id	operacion	moneda	barrio_oficial	calle	altura	precio	precio_usd	precio_por_m2	precio_por_m2_usd	m2_total	ambientes	dormitorios	baños	antiguedad_años	expensas	lat	lon	dist_subte_km	dist_verde_km	dist_tren_km	nivel_socioeconomico	segmento_zona	segmento_zona_modelo	indice_lujo	indice_confort	score_antiguedad	pca_precio_sup	pca_antiguedad	cluster	cluster_nombre
zonaprop	58056405	venta	usd	Nuñez	Ruiz Huidobro	2300.0	177300.0	177300.0	3005.084745762712	3005.084745762712	59.0	1.0	1.0	1.0	18.0	207500.0	-34.5439539	-58.4702138	1.482004616031741	0.24346127825756148	0.8393861160025421	5	estandar	estandar	-0.30967767121697415	0.0	0.4995849119775774	0.15862136731304913	-0.9084975745014775	2.0	Cluster 2: departamentos antiguos
zonaprop	58056417	venta	usd	Almagro	Av. Boedo	200.0	126600.0	126600.0	2532.0	2532.0	50.0	2.0	1.0	1.0	10.0	140400.0	-34.6138227	-58.4172429	0.38634082864913777	0.10135026889493597	1.035420970055775	4	estandar	estandar	0.7743557316071237	0.3333333333333333	0.48736959918800726	-0.2839479091385141	-1.0424342092949033	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056419	venta	usd	Almagro	Av. Boedo	200.0	150300.0	150300.0	2547.4576271186443	2547.4576271186443	59.0	2.0	1.0	1.0	30.0	166500.0	-34.6138227	-58.4172429	0.38634082864913777	0.10135026889493597	1.035420970055775	4	estandar	estandar	0.6248561859438119	0.16666666666666666	0.559342107945071	0.2638241486902277	-0.2532808092450698	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056421	venta	usd	Almagro	Av. Boedo	200.0	68600.0	68600.0	2540.740740740741	2540.740740740741	27.0	1.0	1.0	1.0	15.0	75000.0	-34.6138227	-58.4172429	0.38634082864913777	0.10135026889493597	1.035420970055775	4	estandar	estandar	0.5438916965118266	0.16666666666666666	0.5034657597073365	-0.4895908446194417	-0.8659454357209253	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056423	venta	usd	Palermo	Guatemala	5100.0	1400000.0	1400000.0	6392.6940639269405	6392.6940639269405	219.0	4.0	3.0	4.0	35.0	1500000.0	-34.5834874	-58.4280819	0.6025451339453807	0.10742152971272549	0.5178103227347041	5	estandar	estandar	0.8735015556421623	0.16666666666666666	0.4486968874208927	3.783811527541935	-1.466466975516498	0.0	Cluster 0: departamentos amplios, antiguos, en barrios de alto nivel socioeconómico
zonaprop	58056424	venta	usd	Almagro	Av. Boedo	200.0	199500.0	199500.0	2557.692307692308	2557.692307692308	78.0	3.0	2.0	2.0	45.0	218700.0	-34.6138227	-58.4172429	0.38634082864913777	0.10135026889493597	1.035420970055775	4	estandar	estandar	0.8714304791270662	0.16666666666666666	0.6142052535682365	0.8411815364466347	0.34827440473378274	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056430	venta	usd	Caballito	Pje. Dr. Gregorio Aráoz Alfaro	400.0	179000.0	179000.0	1627.2727272727273	1627.2727272727273	110.0	3.0	2.0	1.0	30.0	195000.0	-34.615536	-58.436253	0.30500246048862817	0.383948447317645	0.813697672645557	4	estandar	estandar	-0.050505951093118305	0.16666666666666666	0.5962051551789326	0.6635926331158307	0.1509096179497362	2.0	Cluster 2: departamentos antiguos
zonaprop	58056438	venta	usd	Palermo	Güemes	3700.0	148000.0	148000.0	1827.1604938271605	1827.1604938271605	81.0	3.0	2.0	1.0	20.0	157000.0	-34.588202	-58.4145214	0.29495829254038686	0.1727051776331677	1.5243899252901816	5	estandar	estandar	-0.21894700049580704	0.3333333333333333	0.5510165897237218	0.12241580033731518	-0.3445672063016366	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056440	venta	usd	Palermo	Ravignani	2300.0	119000.0	119000.0	3051.282051282052	3051.282051282052	39.0	2.0	1.0	1.0	14.0	48900.0	-34.5770659	-58.4340641	0.2267744654940875	0.1935252303755564	0.18132442834667706	5	estandar	estandar	-0.06043593614281827	0.16666666666666666	0.48216218076913114	-0.18317435817262864	-1.099531731969975	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056448	venta	usd	Colegiales	Concepción Arenal	3400.0	195000.0	195000.0	2785.714285714286	2785.714285714286	70.0	2.0	1.0	1.0	37.5	265000.0	-34.5825875	-58.4457825	0.9879159379782557	0.17246428115875834	1.0304994089326953	5	estandar	estandar	0.8154394810536646	0.16666666666666666	0.5784163953000037	0.6477773834271284	-0.04413791594283576	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056452	venta	usd	Flores	Esteban Bonorino	200.0	129000.0	129000.0	1632.9113924050632	1632.9113924050632	79.0	3.0	2.0	1.0	40.0	60000.0	-34.6302978	-58.4587619	0.444511126979642	0.3710195375922934	0.7338146467528197	3	estandar	estandar	0.18672646384353817	0.16666666666666666	0.6298489923509788	0.45295180638191074	0.5198025321131255	2.0	Cluster 2: departamentos antiguos
zonaprop	58056456	venta	usd	Almagro	Avenida Belgrano	3400.0	40000.0	40000.0	1904.7619047619048	1904.7619047619048	21.0	1.0	1.0	1.0	15.0	59644.0	-34.6155701	-58.4142803	0.537910377455647	0.2391635638078568	0.9700335799272253	4	estandar	estandar	-0.03932243919450231	0.3333333333333333	0.5261335462982978	-0.775497251536687	-0.6174010794273077	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056458	venta	usd	San Cristobal	Pasaje Oruro	1100.0	125000.0	125000.0	1602.5641025641023	1602.5641025641023	78.0	4.0	3.0	1.0	52.0	262000.0	-34.623787	-58.411494	0.214858527193817	0.1834375139186556	1.7154545881374157	3	estandar	estandar	-0.07424218209892045	0.5	0.67403421021262	0.6816673722929297	1.0042780007278647	2.0	Cluster 2: departamentos antiguos
zonaprop	58056711	venta	usd	Palermo	Seguí	4500.0	720000.0	720000.0	3512.19512195122	3512.19512195122	205.0	4.0	3.0	3.0	35.0	1067200.0	-34.5742262	-58.4199742	0.7013324252731212	0.1251513844833861	0.5455179582034284	5	estandar	estandar	0.10732431187615585	0.0	0.5522621766937987	2.6684512864724934	-0.33090978057799086	0.0	Cluster 0: departamentos amplios, antiguos, en barrios de alto nivel socioeconómico
zonaprop	58056967	venta	usd	Palermo			175000.0	175000.0	2822.5806451612902	2822.5806451612902	62.0	3.0	2.0	1.0	20.0	256000.0						5	estandar	estandar	-0.29577563622514963	0.0	0.5136034681628932	0.18294719113421834	-0.754789006209479		
zonaprop	58057039	venta	usd	Recoleta			89900.0	89900.0	2043.1818181818185	2043.1818181818185	44.0	2.0	1.0	1.0	35.0	128000.0						5	estandar	estandar	-0.14821717614688049	0.3333333333333333	0.5945980450692643	0.0025580325135496156	0.1332882173733011		
zonaprop	58057305	venta	usd	Villa Luro	Ramon Falcon	4900.0	100000.0	100000.0	1724.1379310344828	1724.1379310344828	58.0	2.0	1.0	1.0	16.0	180000.0	-34.6383299	-58.4962518	2.5734596274066828	0.11868789687660909	0.5518365865301172	2	estandar	estandar	-0.29577563622514963	0.0	0.5388039449223033	-0.3081637492377847	-0.4784745875375929	2.0	Cluster 2: departamentos antiguos
zonaprop	58057638	venta	usd	Palermo	Humboldt	1865.0	241900.0	241900.0	2950.0	2950.0	82.0	2.0	1.0	1.0	20.0	150000.0	-34.5837074	-58.4340112	0.95114438761852	0.19847409017077078	0.8429197429806303	5	estandar	estandar	0.6796789251394444	0.0	0.5103424530559392	0.4964394640807254	-0.790544896947609	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58057665	venta	usd	Belgrano	Guemes	4310.0	119000.0	119000.0	3131.5789473684213	3131.5789473684213	38.0	1.0	1.0	1.0	19.5	142700.0	-34.5832739	-58.4213496	0.207236684653737	0.2337740610163346	0.695002777410787	5	estandar	estandar	0.146338534073542	0.3333333333333333	0.4989585712678025	-0.05549217256414357	-0.9153651814425783	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58059143	venta	usd	Balvanera	Ayacucho	400.0	120000.0	120000.0	2000.0	2000.0	60.0	3.0	2.0	1.0	46.0	266638.0	-34.604544	-58.3953083	0.27389534847254676	0.6591905581355767	1.230406141774419	3	estandar	estandar	-0.09992643774515399	0.16666666666666666	0.6368109877828723	0.43785268048790854	0.5961383784118123	2.0	Cluster 2: departamentos antiguos
zonaprop	58059667	venta	usd	Caballito	Rio De Janeiro	500.0	180000.0	180000.0	4000.0	4000.0	45.0	2.0	1.0	1.0	19.5	260000.0	-34.609943	-58.4304165	0.5901156775853252	0.3171140155667347	1.6106129284601967	4	estandar	estandar	0.5375532183008752	0.3333333333333333	0.46792473359348746	0.31865015583188544	-1.2556403634561104	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58059673	venta	usd	San Nicolas	Viamonte	700.0	195000.0	195000.0	1107.9545454545455	1107.9545454545455	176.0	6.0	3.0	1.0	65.0	500000.0	-34.599954	-58.3767921	0.23696773785674732	0.13874784385167668	1.0261605347649774	3	estandar	estandar	-0.2469916271069336	0.0	0.7454050855411877	2.1317222978199797	1.7868347005392244	2.0	Cluster 2: departamentos antiguos
zonaprop	58059725	venta	usd	Almagro	Olaya	1300.0	348000.0	348000.0	1740.0	1740.0	200.0	4.0	3.0	2.0	42.5	330000.0	-34.6049058	-58.4446547	0.7959548232452945	0.07690601652077704	1.3840602358331116	4	estandar	estandar	-0.33911867112179567	0.0	0.6431958326869943	2.1890408198101774	0.6661459709203108	0.0	Cluster 0: departamentos amplios, antiguos, en barrios de alto nivel socioeconómico
zonaprop	58059777	venta	usd	Recoleta	San Luis	3000.0	270000.0	270000.0	2783.505154639175	2783.505154639175	97.0	3.0	2.0	3.0	48.5	420500.0	-34.5996222	-58.4071442	0.33849769520160194	0.23899323889028168	1.001797895395568	5	estandar	estandar	0.21642148367223712	0.16666666666666666	0.6198919626144657	1.2461501007746483	0.41062718159853806	0.0	Cluster 0: departamentos amplios, antiguos, en barrios de alto nivel socioeconómico
zonaprop	58059788	venta	usd	Palermo	Guemes	3700.0	140000.0	140000.0	3500.0	3500.0	40.0	1.0	1.0	1.0	14.0	137200.0	-34.588202	-58.4145214	0.29495829254038686	0.1727051776331677	1.5243899252901816	5	estandar	estandar	0.05760743255943041	0.16666666666666666	0.46594855990581574	-0.02552116206707924	-1.277308417156713	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58059803	venta	usd	Chacarita	Chacarita Leiva	4400.0	65000.0	65000.0	1345.375457875458	1345.375457875458	56.0	2.0	1.0	1.0	17.0	36000.0						4	estandar	estandar	-0.3045577035478173	0.16666666666666666	0.556007125313846	-0.4359861760734147	-0.2898477280309878		
zonaprop	58059875	venta	usd	Villa Urquiza	Olazabal	5400.0	101358.0	101358.0	2815.5	2815.5	36.0	1.0	1.0	1.0	9.0	128000.0	-34.5785912	-58.4894446	0.5505080858341809	0.21115124708288294	0.452443428557126	4	estandar	estandar	0.44070756224180313	0.16666666666666666	0.47253310053894976	-0.4047774874628576	-1.205111230784576	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58059947	venta	usd	Palermo	Avenida Santa Fe	4900.0	144000.0	144000.0	1679.3763213530656	1679.3763213530656	86.0	3.0	3.0	1.0	20.0	175000.0	-34.5775393	-58.4286404	0.28505479229791847	0.01440533907734283	0.22648917109965405	5	estandar	estandar	-0.1440401073928603	0.3333333333333333	0.5567195414895401	0.1431307556920726	-0.28203633369433656	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58059962	venta	usd	Belgrano			121000.0	121000.0	3666.6666666666665	3666.6666666666665	33.0	1.0	1.0	1.0	10.0	168000.0						5	estandar	estandar	0.17888660278023255	0.3333333333333333	0.4450401546044931	-0.15146355304527429	-1.5065617726129286		
zonaprop	58060020	venta	usd	Villa Urquiza	Olazabal	5400.0	140909.0	140909.0	2348.483333333333	2348.483333333333	60.0	2.0	1.0	1.0	14.5	150000.0	-34.5785912	-58.4894446	0.5505080858341809	0.21115124708288294	0.452443428557126	4	estandar	estandar	0.44070756224180313	0.16666666666666666	0.5108917747103947	-0.11202099200293734	-0.7845217770255591	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58060133	venta	usd	Palermo	Fitz Roy	1800.0	188000.0	188000.0	2410.25641025641	2410.25641025641	78.0	2.0	1.0	1.0	20.0	210000.0	-34.5833804	-58.4354674	0.9113707752772046	0.23082823744177997	0.8635996934861521	5	estandar	estandar	-0.39811961992040407	0.0	0.5296545814863453	0.2686808439940603	-0.5787941593917459	2.0	Cluster 2: departamentos antiguos
zonaprop	58060534	venta	usd	Palermo	Cerviño	4600.0	190000.0	190000.0	2923.076923076923	2923.076923076923	65.0	3.0	2.0	1.0	20.0	206000.0	-34.5755596	-58.422259	0.4477882548872339	0.239781530158378	0.490157135763902	5	estandar	estandar	-0.18773190891476416	0.16666666666666666	0.5101613183242208	0.2560923727229267	-0.7925309759640446	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58060692	venta	usd	Villa Crespo	Camargo	400.0	119990.0	119990.0	1379.1954022988505	1379.1954022988505	87.0	3.0	2.0	1.0	40.0	61000.0	-34.6013213	-58.4393053	0.26473651175773405	0.2114387538519866	1.1756711045399477	4	estandar	estandar	0.03998272240645659	0.0	0.6396000423465819	0.4805554305743382	0.626719386770229	2.0	Cluster 2: departamentos antiguos
zonaprop	58061567	venta	usd	Villa Devoto	Gualeguaychu	3300.0	420000.0	420000.0	4000.0	4000.0	105.0	3.0	2.0	2.0	1.0	130000.0	-34.6050839	-58.5104459	4.050243795189166	0.25019447621753776	0.3351122092268199	4	estandar	estandar	0.806880065457739	0.3333333333333333	0.4054856443799304	0.7478026848661505	-1.9402631506818995	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58061689	venta	usd	San Nicolas	Tucuman	1500.0	53000.0	53000.0	1152.1739130434785	1152.1739130434785	46.0	2.0	1.0	1.0	45.0	120000.0	-34.6017275	-58.387978	0.25954958494130886	0.26391532473797474	1.6874636313380276	3	estandar	estandar	-0.386900672436573	0.0	0.6630246815271321	-0.04609472395946838	0.8835623671458086	2.0	Cluster 2: departamentos antiguos
zonaprop	58146516	venta	usd	San Nicolas			75000.0	75000.0	1271.1864406779662	1271.1864406779662	59.0	3.0	2.0	1.0	50.0	130000.0						3	estandar	estandar	-0.3440663746268761	0.16666666666666666	0.6775719460551134	0.27432675607766926	1.0430680376016008		
zonaprop	58147878	venta	usd	Belgrano	Vidal	2300.0	740000.0	740000.0	2936.5079365079364	2936.5079365079364	252.0	7.0	4.0	4.0	35.0	916300.0	-34.5624096	-58.4619168	0.4962658612495741	0.2924552187913157	0.5990713545894712	5	estandar	estandar	0.7594068420710813	0.16666666666666666	0.5763526368407487	3.124273027715595	-0.06676630604800671	0.0	Cluster 0: departamentos amplios, antiguos, en barrios de alto nivel socioeconómico
zonaprop	58147955	venta	usd	Recoleta			79500.0	79500.0	2650.0	2650.0	30.0	2.0	1.0	1.0	40.0	130000.0						5	estandar	estandar	-0.3440663746268761	0.16666666666666666	0.5896060318155693	0.11154566256985692	0.07855253703812583		
zonaprop	58148671	venta	usd	Palermo			410000.0	410000.0	5125.0	5125.0	80.0	3.0	2.0	2.0	20.0	460000.0						5	estandar	estandar	-0.20268607259789864	0.3333333333333333	0.43128628945849085	1.167282208570449	-1.6573680961833759		
zonaprop	58149457	venta	usd	San Nicolas	Sarmiento	1438.0	78000.0	78000.0	1300.0	1300.0	60.0	3.0	2.0	1.0	50.0	150000.0	-34.6053286	-58.3870288	0.13924921780757565	0.10229064948184577	1.9352028362264553	3	estandar	estandar	-0.26310188519489086	0.16666666666666666	0.6765945653618377	0.2972046908196717	1.0323513999497846	2.0	Cluster 2: departamentos antiguos
zonaprop	58149564	venta	usd	Balvanera	Viamonte	2500.0	82000.0	82000.0	1576.923076923077	1576.923076923077	52.0	2.0	1.0	1.0	40.0	110000.0	-34.6010755	-58.4022919	0.3188456787775062	0.35391858909939417	0.97924560509345	3	estandar	estandar	-0.28578598750938317	0.3333333333333333	0.6300412909330674	0.06697828441753738	0.5219110188464726	2.0	Cluster 2: departamentos antiguos
