barrio_oficial	rent_bruta_lp_pct	años_recupero	precio_m2_mediano	precio_m2_promedio	retorno_neto_lp_mediano	rent_neta_lp_pct	m2_relativo_barrio_mediano	rent_bruta_temp_pct	indice_bruto	modalidad_optima_bruta	ingreso_anual_mediano	costo_propietario_mediano	retorno_neto_temp_mediano	costo_expensas_pct	rent_neta_temp_pct	indice_neto	modalidad_optima_neta	dist_subte_mediana_km	dist_verde_mediana_km	dist_tren_mediana_km	nivel_socioeconomico	indice_lujo_mediano	indice_confort_mediano	score_antiguedad_mediano	cluster_dominante	cluster_nombre_dominante
Villa Ortuzar	3.91	25.6	2667.0	2790.0	5088.339222614841	4	1.0	4.38	1.12	Temporario	5694.0	1950.5300353356888	4082.6925795053	2.0	3.0	0.75	Largo plazo	0.39	0.202	0.986	4	0.017	0.167	0.553	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
Villa Pueyrredon	5.23	19.1	2367.0	2374.0	5936.395759717314	5	1.0	5.48	1.05	Temporario	6219.6	996.4664310954064	4916.257950530035	1.0	4.0	0.8	Largo plazo	1.956	0.384	0.61	4	-0.206	0.167	0.575	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
Villa Real	6.7	14.9	2042.0	2064.0	6106.007067137809	6	1.0											5.357	0.198	1.648	3	-0.22	0.167	0.602	3.0	Cluster 3: departamentos lejos del subte
Villa Riachuelo	4.54	22.0	1752.0	1752.0	5512.367491166078	5	1.0											5.328	0.33	1.416	1	-0.224	0.167	0.589	3.0	Cluster 3: departamentos lejos del subte
Villa Santa Rita	5.29	18.9	2196.0	2233.0	5766.78445229682	5	1.0	4.06	0.77	Largo plazo	4426.43109540636	0.0	4426.43109540636	0.0	4.0	0.8	Largo plazo	1.994	0.275	1.622	3	-0.2	0.167	0.508	3.0	Cluster 3: departamentos lejos del subte
Villa Soldati	13.98	7.2	856.0	949.0	6572.438162544169	14	1.0											2.747	0.148	0.404	1	-0.208	0.167	0.657	3.0	Cluster 3: departamentos lejos del subte
Villa Urquiza	4.46	22.4	2838.0	2924.0	6360.424028268551	4	1.0	3.99	0.89	Largo plazo	5694.0	1356.8904593639577	4337.109540636043	1.0	3.0	0.75	Largo plazo	0.578	0.192	0.545	4	-0.024	0.167	0.516	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
=======
Agronomia	5.14	19.5	2375.0	2452.0	5088.339222614841	5	1.0	5.31	1.03	Temporario	5256.0	1187.279151943463	4068.720848056537	1.0	4.0	0.8	Largo plazo	2.177	0.156	0.827	3	-0.149	0.167	0.555	2.0	Cluster 2: departamentos antiguos
Almagro	4.55	22.0	2297.0	2352.0	5681.978798586572	5	1.0	4.56	1.0	Temporario	5694.0	1187.279151943463	4407.943462897527	1.0	4.0	0.8	Largo plazo	0.339	0.254	1.313	4	-0.151	0.167	0.596	2.0	Cluster 2: departamentos antiguos
Balvanera	6.12	16.3	1645.0	1731.0	5512.367491166078	6	1.0	5.57	0.91	Largo plazo	5014.558303886925	1297.5265017667843	3559.886925795053	1.0	4.0	0.67	Largo plazo	0.242	0.364	0.939	3	-0.263	0.167	0.668	2.0	Cluster 2: departamentos antiguos
Barracas	5.3	18.9	2091.0	2160.0	6614.840989399294	5	1.0	4.96	0.94	Largo plazo	6190.812720848056	1653.7102473498237	4690.303886925795	1.0	4.0	0.8	Largo plazo	1.058	0.171	0.944	2	-0.166	0.167	0.621	2.0	Cluster 2: departamentos antiguos
Belgrano	4.24	23.6	3112.0	3351.0	9328.621908127208	4	1.0	3.24	0.76	Largo plazo	7119.434628975266	1526.5017667844522	5502.69964664311	1.0	3.0	0.75	Largo plazo	0.505	0.203	0.591	5	0.049	0.167	0.577	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
Boedo	5.8	17.2	2077.0	2107.0	5512.367491166078	6	1.0	5.99	1.03	Temporario	5694.0	1017.6678445229684	4676.332155477032	1.0	5.0	0.83	Largo plazo	0.409	0.284	1.867	3	-0.198	0.167	0.585	2.0	Cluster 2: departamentos antiguos
Caballito	3.98	25.1	2388.0	2535.0	6360.424028268551	4	1.0	4.11	1.03	Temporario	6570.0	1170.318021201413	5290.328268551237	1.0	3.0	0.75	Largo plazo	0.414	0.279	1.117	4	-0.103	0.167	0.6	2.0	Cluster 2: departamentos antiguos
Chacarita	6.17	16.2	2634.0	2626.0	6784.452296819789	6	1.0	6.77	1.1	Temporario	7446.0	1484.0989399293285	5384.734982332156	1.0	5.0	0.83	Largo plazo	0.444	0.167	0.541	4	-0.012	0.167	0.561	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
Coghlan	5.22	19.2	2730.0	2805.0	6784.452296819789	5	1.0	5.73	1.1	Temporario	7446.0	1424.7349823321556	5297.915194346289	1.0	4.0	0.8	Largo plazo	1.25	0.124	0.704	4	0.08	0.167	0.483	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
Colegiales	4.73	21.1	2805.0	2945.0	7800.0	5	1.0	5.04	1.07	Temporario	8322.0	1484.0989399293285	6830.915194346289	1.0	4.0	0.8	Largo plazo	0.678	0.183	0.659	5	-0.076	0.167	0.571	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
Constitucion	7.35	13.6	1391.0	1450.0	5512.367491166078	7	1.0	6.6	0.9	Largo plazo	4952.650176678446	1017.6678445229684	3765.371024734983	1.0	5.0	0.71	Largo plazo	0.311	0.217	0.744	3	-0.228	0.167	0.674	2.0	Cluster 2: departamentos antiguos
Flores	5.4	18.5	1966.0	2031.0	5936.395759717314	5	1.0	5.77	1.07	Temporario	6351.0	1272.0848056537102	4937.734982332155	1.0	4.0	0.8	Largo plazo	0.447	0.323	0.739	3	-0.136	0.167	0.603	2.0	Cluster 2: departamentos antiguos
Floresta	5.9	16.9	1800.0	1854.0	5512.367491166078	6	1.0	3.64	0.62	Largo plazo	3404.946996466431	424.0282685512368	2980.918727915194	0.0	3.0	0.5	Largo plazo	1.385	0.183	0.689	3	-0.237	0.167	0.61	2.0	Cluster 2: departamentos antiguos
La Boca	6.79	14.7	1393.0	1543.0	5003.533568904593	7	1.0	7.14	1.05	Temporario	5256.0	1017.6678445229684	4323.137809187279	1.0	6.0	0.86	Largo plazo	1.936	0.16	1.83	2	-0.288	0.167	0.652	2.0	Cluster 2: departamentos antiguos
La Paternal	5.8	17.2	1993.0	1967.0	5512.367491166078	6	1.0	4.24	0.73	Largo plazo	4024.028268551237	1526.5017667844522	2497.526501766785	2.0	3.0	0.5	Largo plazo	1.975	0.211	0.875	3	-0.244	0.167	0.621	2.0	Cluster 2: departamentos antiguos
Liniers	4.68	21.4	2181.0	2175.0	5088.339222614841	5	1.0	4.43	0.95	Largo plazo	4818.0	1441.696113074205	3376.3038869257957	1.0	3.0	0.6	Largo plazo	4.68	0.289	0.945	2	-0.237	0.167	0.528	2.0	Cluster 2: departamentos antiguos
Mataderos	5.24	19.1	2027.0	2046.0	5766.78445229682	5	1.0											3.826	0.215	1.748	2	-0.192	0.167	0.522	2.0	Cluster 2: departamentos antiguos
Monserrat	6.9	14.5	1829.0	1948.0	6000.0	7	1.0	6.04	0.88	Largo plazo	5256.0	1526.5017667844522	4139.554770318021	2.0	5.0	0.71	Largo plazo	0.258	0.187	1.69	3	-0.245	0.167	0.65	2.0	Cluster 2: departamentos antiguos
Monte Castro	5.06	19.8	2201.0	2231.0	5512.367491166078	5	1.0	4.78	0.94	Largo plazo	5212.2	826.8551236749116	4385.344876325088	1.0	4.0	0.8	Largo plazo	3.346	0.342	1.657	2	-0.185	0.167	0.556	2.0	Cluster 2: departamentos antiguos
Nueva Pompeya	7.92	12.6	1333.0	1327.0	5512.367491166078	7	1.0	10.8	1.36	Temporario	8103.0	1144.8763250883392	6958.1236749116615	2.0	9.0	1.29	Temporario	0.997	0.169	0.648	2	-0.293	0.167	0.659	2.0	Cluster 2: departamentos antiguos
Nuñez	4.35	23.0	3431.0	3632.0	8480.565371024735	4	1.0	4.49	1.03	Temporario	8760.0	2120.141342756184	6667.802120141343	1.0	3.0	0.75	Largo plazo	1.095	0.183	0.608	5	0.139	0.167	0.486	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
Palermo	4.71	21.2	3241.0	3513.0	9328.621908127208	5	1.0	3.97	0.84	Largo plazo	7884.0	1611.3074204946995	5919.498233215548	1.0	3.0	0.6	Largo plazo	0.594	0.187	0.846	5	-0.038	0.167	0.585	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
Parque Avellaneda	7.07	14.1	1613.0	1710.0	5512.367491166078	7	1.0	11.23	1.59	Temporario	8760.0	2968.197879858657	5791.802120141343	4.0	7.0	1.0	Largo plazo	1.708	0.247	1.149	2	-0.239	0.167	0.621	2.0	Cluster 2: departamentos antiguos
Parque Chacabuco	4.41	22.7	2229.0	2277.0	5512.367491166078	4	1.0	4.2	0.95	Largo plazo	5256.0	1441.696113074205	3814.3038869257953	1.0	3.0	0.75	Largo plazo	0.399	0.243	1.615	3	-0.148	0.167	0.579	2.0	Cluster 2: departamentos antiguos
Parque Chas	4.91	20.4	2432.0	2475.0	5597.173144876326	5	1.0	4.67	0.95	Largo plazo	5324.0989399293285	1272.0848056537102	3712.7915194346288	1.0	3.0	0.6	Largo plazo	0.593	0.285	0.809	3	-0.068	0.167	0.546	2.0	Cluster 2: departamentos antiguos
